REGION,COUNTRY,NAME,LAT,LON,LAT_DEG,LAT_MIN,LAT_HEMI,LON_DEG,LON_MIN,LON_HEMI,INDEX_NO,Field10,Field11,Combo192,Combo206,Combo210,Combo196,Combo218,Combo198,Combo216,Combo231,Combo223,Combo225,Combo234,Combo236,Field24,Combo238,Combo240,Combo242,Combo244,Combo246,Combo248,Combo254,Combo256,Combo258,Combo260,Combo264,Combo262,Combo266,Combo268,Combo270,Combo272,Combo274,Combo276,Combo278,Combo280,Combo282,Combo284,Combo288,Combo290,Combo292,Combo294,Combo296,Combo304,Combo300,Combo302,Combo306,Combo308,Combo310,Combo312,Combo317,Combo321,Combo319,Combo323,Combo325,Combo327,Combo329,Combo332,Combo335,Combo337,Combo339,Combo341,Combo343,Combo345,Combo347,Combo349,Combo351
14830,PE,PUERTO DEL CALLAO,-12.05,-77.15,12,3,S,77,9,W,14950,125,22172,M,CB,G,N,N,N,Y,N,K,A,K,K,1,L,Y,Y,Y,Y,Y,Y,Y,,Y,,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,,,Y,Y,,N,Y,Y,Y,N,Y,Y,Y,Y,,,,,Y,Y,Y,Y,Y,Y,A,S,
14830,PE,LA PAMPILLA OIL TERMINAL,-11.933333333333334,-77.13333333333334,11,56,S,77,8,W,14955,125,22173,V,OR,P,,,,,,,D,J,E,1,,,,,,Y,,Y,,,,,Y,Y,,,,Y,,,Y,,Y,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,
14830,PE,BAHIA DE ANCON,-11.75,-77.18333333333334,11,45,S,77,11,W,14960,125,22143,V,OR,F,N,N,N,,,,N,H,,2,M,,,,,Y,Y,,,,,Y,Y,Y,,Y,,Y,Y,,Y,,Y,,,,,N,,N,,,,,,,,,,,,,,Y,,,,,,,
14830,PE,CHANCAY,-11.583333333333334,-77.25,11,35,S,77,15,W,14970,125,22160,V,OR,F,N,Y,N,,,,G,N,,2,,,,,,Y,N,N,,,,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,,,Y,,,N,Y,,,,,,Y,Y,,,,,,N,N,N,,,N,,
14830,PE,PUERTO DE HUACHO,-11.116666666666667,-77.61666666666666,11,7,S,77,37,W,14980,125,22143,V,OR,F,N,Y,N,,,,J,O,,1,,Y,,,N,N,N,N,,,,Y,,,,Y,Y,,Y,Y,Y,,Y,,,,Y,,,N,Y,,,,,,Y,,,,,,Y,N,N,Y,,,C,,
14830,PE,PUERTO SUPE,-10.8,-77.75,10,48,S,77,45,W,14990,125,22143,V,OR,N,N,Y,N,N,N,,F,M,G,1,L,Y,N,N,N,Y,Y,N,,,,Y,Y,,,Y,Y,Y,Y,,Y,,Y,,,,Y,,,N,Y,,,,,,Y,Y,,,,,Y,N,N,N,,,C,,
14830,PE,PUNTA LOBITOS (BAHIA DE HUARMEY),-10.1,-78.16666666666667,10,6,S,78,10,W,15000,125,22140,V,OR,F,N,Y,N,,,,H,,,1,,,,,N,Y,N,N,Y,,,Y,,,,Y,Y,Y,,Y,,,Y,,,,N,N,,N,,Y,,,,,Y,Y,N,N,N,N,Y,,,,,,,,
14830,PE,PUERTO DE CHIMBOTE,-9.083333333333334,-78.61666666666666,9,5,S,78,37,W,15030,125,,V,CN,G,N,N,N,Y,,B,K,H,L,2,L,Y,,Y,N,N,Y,Y,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,Y,N,,N,Y,Y,Y,,Y,,Y,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,C,,S
14830,PE,SALAVERRY,-8.233333333333333,-78.98333333333333,8,14,S,78,59,W,15050,125,22134,V,CB,P,N,Y,N,Y,N,L,K,L,L,3,L,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,Y,,Y,,Y,Y,,,,Y,N,,N,Y,Y,,,,,Y,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,C,,
14830,PE,PIMENTAL,-6.833333333333333,-79.93333333333334,6,50,S,79,56,W,15110,125,,V,OR,P,N,Y,N,,,H,K,O,J,3,M,,,Y,N,Y,N,N,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,Y,,,N,,Y,,,,,Y,Y,,,,,Y,,N,N,N,N,N,,
14830,PE,PUERTO BAYOVAR,-5.833333333333333,-81.05,5,50,S,81,3,W,15140,125,22120,V,OR,P,,Y,,Y,,,A,K,A,1,L,,,,,Y,Y,Y,,Y,,Y,Y,Y,Y,Y,,Y,,N,,Y,Y,,,,Y,N,,Y,,,,,,,,,,,,,,N,,,,,,,
